#   An Open-Source Inversion Algorithm for the Munsell Renotation
#   Paul Centore
#   June 2011
#   http://www.munsellcolourscienceforpainters.com/ColourSciencePapers/OpenSourceInverseRenotationArticle.pdf

Method	x	y	Y	Previous.Inversion	Current.Inversion	Hue.Diff	Value.Diff	Chroma.Diff
Simon & Frost	0.1988	0.1930	8.39	4.53PB 3.39/7.86	4.58PB 3.43/7.76	0.05	0.04	0.10
Simon & Frost	0.3352	0.2404	7.67	1.09RP 3.24/5.91	1.13RP 3.28/5.94	0.04	0.04	0.03
Simon & Frost	0.4784	0.3095	11.05	4.24R 3.85/8.72	3.89R 3.90/8.86	0.35	0.05	0.14
Simon & Frost	0.4385	0.4824	28.63	7.88Y 5.88/8.68	7.81Y 5.94/8.74	0.07	0.06	0.06
Simon & Frost	0.5190	0.3695	15.13	1.36YR 4.44/9.35	1.12YR 4.49/9.41	0.24	0.05	0.06
Simon & Frost	0.5184	0.3573	6.20	1.38YR 2.92/6.90	1.10YR 2.95/6.99	0.28	0.03	0.09
Simon & Frost	0.2687	0.2842	13.54	0.30PB 4.23/2.59	0.59PB 4.27/2.59	0.29	0.04	0.00
Simon & Frost	0.3036	0.3747	3.18	10.00GY 2.02/2.52	0.23G 2.05/2.54	0.23	0.03	0.02
Simon & Frost	0.3517	0.3492	12.76	0.42Y 4.11/1.54	0.42Y 4.16/1.54	0.00	0.05	0.00
Simon & Frost	0.3421	0.3252	18.55	9.37R 4.86/1.75	9.29R 4.92/1.76	0.08	0.06	0.01
Simon & Frost	0.3767	0.3546	12.88	7.19YR 4.13/2.45	6.84YR 4.18/2.48	0.35	0.05	0.03
Simon & Frost	0.2697	0.2640	14.89	6.63PB 4.41/3.69	6.63PB 4.46/3.66	0.00	0.05	0.03
Simon & Frost	0.2882	0.3492	28.41	6.18G 5.86/3.28	6.24G 5.92/3.30	0.06	0.06	0.02
Simon & Frost	0.3918	0.3800	30.97	0.28Y 6.08/4.30	9.83YR 6.14/4.36	0.45	0.06	0.06
Simon & Frost	0.3099	0.3153	16.02	N 4.56/	N 4.61/	NA	0.05	NA
Simon & Frost	0.2665	0.3291	25.71	4.14BG 5.61/3.82	4.13BG 5.67/3.84	0.01	0.06	0.02
Simon & Frost	0.3952	0.3084	8.75	2.36R 3.45/4.26	2.30R 3.50/4.20	0.06	0.05	0.06

ASTM	0.2395	0.2905	59.53	3.9B 8.11/6.6	4.00B 8.11/6.59	0.10	0.00	0.01
ASTM	0.3434	0.3025	80.84	5.9RP 9.19/6.0	6.08RP 9.19/6.63	0.18	0.00	0.63
ASTM	0.4183	0.3790	72.22	5.4YR 8.78/7.6	5.41YR 8.78/7.58	0.01	0.00	0.02
ASTM	0.4690	0.4953	50.30	5.6Y 7.56/13.7	5.57Y 7.56/13.63	0.03	0.00	0.07

Wallkill	0.3434	0.3025	80.84	5.9RP 9.19/5.60	6.08RP 9.19/6.63	0.18	0.00	1.03
Wallkill	0.1600	0.1900	1.79	8.34B 1.40/5.38	8.19B 1.40/5.21	0.15	0.00	0.17
Wallkill	0.2700	0.3100	7.76	8.53BG 3.30/2.04	8.53BG 3.30/2.00	0.00	0.00	0.04
Wallkill	0.4200	0.3600	19.77	2.75YR 5.06/5.28	2.77YR 5.06/5.26	0.02	0.00	0.02
Wallkill	0.2800	0.2500	31.62	1.99P 6.20/6.71	1.96P 6.20/6.67	0.03	0.00	0.04
Wallkill	0.3200	0.5400	47.86	9.29GY 7.40/13.79	9.24GY 7.40/13.65	0.05	0.00	0.14
