#
#   OptimalColorsForIlluminantC.txt
#
#   This file has 994 points computed by package colorSpec - at 5nm intervals using CIE 5nm stadards.
#   The dot products XYZ are converted to xyY, and rounded to 5 significant digits.
#   
#   These are points are on the boundary of the Illuminant C color solid,
#   and organized as 31 circles of latitude, with 32 points on each circle, plus pure black and white.
#   The total is 31*32 + 2 = 994 points.
#
#   The chromaticity of white is xy = 0.31006,0.31616, which is the CIE 15:2004 standard.
#   The luminance factor of white is 100, which is the convention for working with Munsell.
#
#   The points on the each circle have very-approximately constant brightness.
#   The spectrum of each point has 2-transitions, and the width of each is constant
#   in the reparameterized wavelength proposed by Logvinenko.
#   The centers of the bandpass (or bandstop) filters are equally spaced on the hue circle,
#   again in reparameterized wavelength.
#
#   In XYZ, the points are symmetric about the midpoint of black and white (50% gray).
#   The points are sorted by Y.  The density is higher at the ends (dark and light).

x	y	Y
0	0	0
0.1706	0.0055777	0.003956
0.16888	0.0068902	0.0048866
0.16702	0.0083912	0.0059512
0.16508	0.010257	0.0072768
0.16267	0.012416	0.0088108
0.16004	0.014745	0.010466
0.1567	0.01764	0.012523
0.15256	0.021222	0.015068
0.17059	0.0055879	0.015815
0.14741	0.026257	0.018657
0.16887	0.0068964	0.019517
0.1416	0.032337	0.023006
0.16702	0.0083966	0.023763
0.16508	0.010261	0.029048
0.13432	0.041221	0.029411
0.16269	0.012404	0.035124
0.17059	0.0055978	0.035504
0.16003	0.014751	0.041779
0.12319	0.058974	0.042445
0.16884	0.0069231	0.043906
0.1567	0.017647	0.049989
0.167	0.00842	0.053401
0.15256	0.021234	0.06016
0.17061	0.0056196	0.063011
0.16506	0.010278	0.065204
0.10526	0.096608	0.071095
0.14745	0.026172	0.074202
0.16879	0.0069727	0.078173
0.16273	0.01237	0.078499
0.14159	0.032359	0.091867
0.16	0.014774	0.093771
0.16696	0.0084804	0.095081
0.17067	0.0056464	0.098218
0.46439	0.13924	0.10257
0.15667	0.017676	0.11221
0.16503	0.010295	0.11546
0.1343	0.041287	0.11755
0.16879	0.0069717	0.12125
0.15252	0.021286	0.13515
0.16276	0.012346	0.1385
0.071404	0.18882	0.14728
0.16695	0.0085194	0.14817
0.1475	0.026069	0.16562
0.15999	0.014783	0.16587
0.12315	0.059109	0.16978
0.16879	0.0069924	0.17357
0.16499	0.010315	0.17945
0.15658	0.017753	0.19923
0.14157	0.032401	0.20614
0.16695	0.0085475	0.21219
0.16274	0.012359	0.21506
0.71818	0.28182	0.21797
0.70034	0.29954	0.23466
0.1688	0.0070576	0.23597
0.15247	0.021357	0.23973
0.67978	0.32008	0.25421
0.16494	0.010348	0.25693
0.15995	0.014817	0.25788
0.13419	0.041567	0.26528
0.65345	0.34622	0.2794
0.10518	0.09693	0.2847
0.16691	0.0086149	0.28806
0.14752	0.026021	0.29223
0.16264	0.012439	0.30893
0.62124	0.37826	0.31035
0.15648	0.017842	0.3106
0.58404	0.41537	0.34589
0.16487	0.010413	0.34825
0.14157	0.032324	0.36352
0.15984	0.014908	0.37034
0.1524	0.021472	0.37388
0.16685	0.0087066	0.37566
0.54295	0.45626	0.38407
0.12297	0.059689	0.38435
0.46362	0.14036	0.41293
0.013392	0.48934	0.41727
0.16251	0.012536	0.41934
0.49882	0.50019	0.42243
0.15641	0.017905	0.44486
0.16476	0.010524	0.45415
0.14746	0.026116	0.455
0.45337	0.54549	0.45902
0.13397	0.042068	0.47476
0.16679	0.0088274	0.47547
0.40662	0.59177	0.49208
0.15967	0.015051	0.50358
0.35879	0.63828	0.52009
0.15227	0.02163	0.53757
0.30859	0.68605	0.54434
0.16234	0.012665	0.54666
0.2555	0.73318	0.56351
0.14148	0.032473	0.56655
0.16459	0.010685	0.57559
0.1958	0.78013	0.57871
0.032632	0.807	0.5851
0.12165	0.82439	0.58928
0.071258	0.19047	0.59311
0.15625	0.018063	0.60449
0.10498	0.097491	0.642
0.15946	0.015229	0.65748
0.14727	0.02645	0.65783
0.12261	0.060724	0.69174
0.16208	0.012885	0.69423
0.16438	0.010903	0.71399
0.15206	0.02187	0.73214
0.13363	0.042793	0.74949
0.15596	0.018355	0.79263
0.14119	0.033106	0.82471
0.15914	0.015506	0.8356
0.16178	0.013156	0.86162
0.71812	0.28188	0.87001
0.14703	0.026825	0.89873
0.46272	0.14146	0.93318
0.70024	0.29965	0.93679
0.15174	0.022307	0.96375
0.1556	0.01873	1.0097
0.67967	0.32019	1.0148
0.15873	0.01589	1.041
0.24783	0.04208	1.0554
0.16137	0.013552	1.0557
0.12204	0.062243	1.101
0.13304	0.044207	1.1061
0.65334	0.34633	1.1153
0.14072	0.034098	1.1447
0.10434	0.099504	1.16
0.14661	0.027558	1.1918
0.21276	0.027858	1.2089
0.15131	0.022867	1.2335
0.62116	0.37835	1.2387
0.15509	0.019323	1.2664
0.1609	0.014059	1.2792
0.15821	0.016436	1.2808
0.070682	0.19574	1.3684
0.58398	0.41543	1.3804
0.18043	0.018839	1.4706
0.5429	0.45631	1.5326
0.13993	0.035771	1.5512
0.14591	0.028814	1.5565
0.15756	0.017166	1.5624
0.15063	0.023903	1.568
0.13209	0.046482	1.5688
0.15443	0.020125	1.5692
0.12089	0.065596	1.6597
0.46169	0.14274	1.6658
0.013143	0.48931	1.6675
0.49883	0.50018	1.6857
0.45337	0.54548	1.8315
0.10272	0.10518	1.9086
0.15671	0.018308	1.9166
0.71812	0.28188	1.9496
0.1535	0.021457	1.9549
0.40663	0.59175	1.9634
0.14966	0.025489	1.9903
0.14484	0.03092	2.0329
0.21343	0.031269	2.0603
0.35876	0.63832	2.0755
0.13869	0.038541	2.0898
0.70006	0.29985	2.1009
0.30862	0.68599	2.1719
0.1305	0.050596	2.2093
0.25553	0.7331	2.2484
0.67929	0.32056	2.2772
0.19581	0.77998	2.309
0.033175	0.80403	2.3315
0.12173	0.82374	2.3509
0.30317	0.069669	2.3727
0.11882	0.071751	2.455
0.15219	0.023616	2.4763
0.65324	0.34643	2.5
